"i","j","fij"
"NPL","BEL",1883
"NLD","BEL",63812
"NZL","BEL",194
"NIC","BEL",127
"NER","BEL",1087
"NGA","BEL",2713
"MKD","BEL",666
"NOR","BEL",543
"OMN","BEL",19
"PAK","BEL",7639
"PLW","BEL",0
"PAN","BEL",59
"PNG","BEL",11
"PRY","BEL",156
"PER","BEL",1267
"PHL","BEL",2384
"POL","BEL",32007
"PRT","BEL",17499
"KOR","BEL",1512
"MDA","BEL",386
"ROU","BEL",33921
"RUS","BEL",3593
"RWA","BEL",6332
"SMR","BEL",7
"STP","BEL",45
"SAU","BEL",276
"SEN","BEL",3087
"SRB","BEL",169
"SYC","BEL",29
"SLE","BEL",1288
"SGP","BEL",244
"SVK","BEL",674
"SVN","BEL",70
"SOM","BEL",1763
"ZAF","BEL",1691
"ESP","BEL",21377
"LKA","BEL",977
"PSE","BEL",476
"SDN","BEL",689
"SUR","BEL",1375
"SWE","BEL",1493
"CHE","BEL",2284
"SYR","BEL",6641
"TJK","BEL",28
"THA","BEL",1886
"TGO","BEL",3245
"TUN","BEL",8937
"TUR","BEL",50924
"TKM","BEL",5
"UGA","BEL",297
"UKR","BEL",714
"GBR","BEL",11844
"TZA","BEL",298
"USA","BEL",7972
"URY","BEL",248
"UZB","BEL",195
"VEN","BEL",659
"VNM","BEL",3594
"YEM","BEL",134
"ZMB","BEL",136
"ZWE","BEL",214
"CAN","BLZ",392
"CHN","BLZ",1124
"HKG","BLZ",37
"SLV","BLZ",4525
"DEU","BLZ",44
"GTM","BLZ",11393
"HTI","BLZ",30
"HND","BLZ",4329
"IND","BLZ",326
"JAM","BLZ",302
"LBN","BLZ",39
"MEX","BLZ",1860
"NGA","BLZ",37
"GBR","BLZ",251
"USA","BLZ",2142
"BFA","BEN",6775
"TCD","BEN",607
"COG","BEN",1955
"CIV","BEN",14707
"FRA","BEN",659
"GHA","BEN",6410
"MLI","BEN",1974
"NER","BEN",40165
"NGA","BEN",40604
"TGO","BEN",38103
"AUS","BMU",40
"AUT","BMU",19
"BEL","BMU",13
"CAN","BMU",1250
"CHN","BMU",188
"CUB","BMU",18
"DNK","BMU",22
"DOM","BMU",12
"FRA","BMU",86
"DEU","BMU",134
"GHA","BMU",74
"GRC","BMU",57
"GUY","BMU",55
"HTI","BMU",818
"IND","BMU",258
"IRL","BMU",57
"ISR","BMU",44
"ITA","BMU",36
"JAM","BMU",322
"JPN","BMU",416
"MYS","BMU",14
"NGA","BMU",110
"PAK","BMU",20
"PHL","BMU",225
"POL","BMU",19
"PRT","BMU",839
"ROU","BMU",17
"ZAF","BMU",159
"ESP","BMU",77
"CHE","BMU",67
"TTO","BMU",37
"TUR","BMU",85
"TCA","BMU",7
"GBR","BMU",1355
"USA","BMU",1864
"AUS","BTN",22
"BGD","BTN",35
"CAN","BTN",18
"CHN","BTN",673
"DNK","BTN",25
"FRA","BTN",15
"DEU","BTN",15
"IND","BTN",38509
"ITA","BTN",9
"JPN","BTN",81
"MMR","BTN",21
"NPL","BTN",426
"NLD","BTN",14
"NZL","BTN",15
"PAK","BTN",22
"PHL","BTN",15
"KOR","BTN",16
"SGP","BTN",9
"LKA","BTN",18
"SWE","BTN",13
"CHE","BTN",19
"THA","BTN",33
"GBR","BTN",15
"USA","BTN",71
"AFG","BOL",1
"ALB","BOL",0
"DZA","BOL",2
"AND","BOL",0
"AGO","BOL",5
"ATG","BOL",0
"ARG","BOL",21801
